"Run","GSM1402321","GSM1402322","GSM1402323","GSM1402324","GSM1402325","GSM1402326","GSM1402327","GSM1402328","GSM1402329","GSM1402330","GSM1402331","GSM1402332","GSM1402333","GSM1402334","GSM1402335","GSM1402336","GSM1402337","GSM1402338","GSM1402339","GSM1402340","GSM1402341","GSM1402342","GSM1402343","GSM1402344","GSM1402345","GSM1402346","GSM1402347","GSM1402348","GSM1402349","GSM1402350","GSM1402351","GSM1402352","GSM1402353","GSM1402354","GSM1402355","GSM1402356","GSM1402357","GSM1402358","GSM1402359","GSM1402360","GSM1402361","GSM1402362","GSM1402363","GSM1402364","GSM1402365","GSM1402366","GSM1402367","GSM1402368","GSM1402369","GSM1402370","GSM1402371","GSM1402372","GSM1402373","GSM1402374","GSM1402375","GSM1402376","GSM1402377","GSM1402378","GSM1402379","GSM1402380","GSM1402381","GSM1402382","GSM1402383","GSM1402384","GSM1402385","GSM1402386","GSM1402387","GSM1402388","GSM1402389","GSM1402390","GSM1402391","GSM1402392","GSM1402393","GSM1402394","GSM1402395","GSM1402396","GSM1402397","GSM1402398","GSM1402399","GSM1402400","GSM1402401","GSM1402402","GSM1402403","GSM1402404","GSM1402405","GSM1402406","GSM1402407","GSM1402408","GSM1402409","GSM1402410","GSM1402411","GSM1402412","GSM1402413","GSM1402414","GSM1402415","GSM1402416","GSM1402417","GSM1402418","GSM1402419","GSM1402420","GSM1402421","GSM1402422","GSM1402423","GSM1402424","GSM1402425","GSM1402426","GSM1402427","GSM1402428","GSM1402429","GSM1402430","GSM1402431","GSM1402432","GSM1402433","GSM1402434","GSM1402435"
"Random_Vegf_72_0001","-2.8304959672373","1.77163958571255","5.0250599448279","2.52191768180352","4.52845864634208","2.24529755718525","5.44762193318029","-12.5560262173722","-2.57765015517667","-0.0565581252170303","-3.46945099967085","-0.984092431572741","-0.13017290566065","6.66283647439083","-1.30317643064359","3.15019445834234","6.40253110267715","-4.6046714995565","0.519788947688916","0.895034217262987","-5.00398800189783","6.63051567177428","-1.69257514028666","0.18148429177261","1.7696944119741","1.79529785559941","0.456432147915497","-3.51647104763823","-0.563674790807056","-0.686590388497835","-3.62572034887245","-2.61581075957428","-3.66850557786407","-3.22965258495313","3.03803768359397","2.14240809283831","-4.272406597569","-3.35281294857168","6.84829683601309","0.425969546682209","3.00742249088959","1.66401344700495","-0.949839380316827","-3.48649214737964","-0.0186997110958438","1.2646600122646","4.80232495431988","2.75583201884339","-1.91541583790049","-0.929940898514325","3.22324839897272","-1.00322999215539","-0.2936469453914","-4.33741652462969","-3.05901137315772","-7.26496893886449","-2.13133919451412","0.964017662372531","4.67171483442364","1.21453324339706","-3.11148568789336","5.27165015852673","-2.93373472360892","3.46624617861244","1.38562479232047","3.30731467694379","1.95973464703447","-5.20155735105372","-1.05149969678516","3.99060058898199","0.170958706013987","6.48259360478578","2.96110721502245","-0.594323947810326","-6.84986179725147","-4.154946573593","-9.00023946273262","-4.05273764132214","-0.149505765937736","-5.26824781825798","2.06232289300158","0.477663084169757","-2.95330808739601","0.725904521947304","3.49763535874288","-6.60805271603549","-8.84707520661597","-0.420046418370085","3.06940499926197","-5.65685143183906","-1.58307572422622","5.30915684595691","-5.28668656895035","-2.2897714935044","1.25836073467153","-8.34126565705626","1.46664194955352","-0.209493826481067","-1.79463946691431","3.20676883809585","-4.72663685445844","2.82515243331695","2.40115817478241","1.10228839183445","-0.612286401632767","-7.63195881504626","4.13070840536712","0.408184319076499","0.50794802951081","-2.48604782422207","-2.13960866917071","5.82203335018379","-1.85824451701278","-9.40078445243772","1.0741812857035"
"Random_Vegf_72_0002","-2.91711082793504","2.17793539179508","5.4646285619521","3.28526713182435","4.7512777225685","1.83700567885308","4.93386187420115","-12.9105392576986","-2.94924952658829","-0.316302675534394","-3.76833884801564","-1.39904139413601","-0.793271095723372","6.82663637042507","-1.44763233532854","3.15640660518206","6.36235976153937","-4.80344464187902","0.103766050192835","0.983147078157879","-4.1507294428625","6.79741414774928","-2.16228051792627","0.0139956020461364","2.40645295358339","0.949978492241437","0.410669030084712","-3.83344894377338","-0.365979065539445","-1.30449301506126","-3.96674252330227","-3.30201988650105","-4.25628153741317","-2.88576849523414","2.93504177521216","1.75419051355391","-4.23491601934786","-2.9893848680212","6.92726776762178","0.0326018863444117","3.37962892679789","1.21233386249251","-1.23754475143018","-3.61026422496954","0.240411139438813","1.08075368796582","5.0293679708046","3.36286577907414","-1.79230053681455","-0.489466449524655","3.53545581356207","-1.54986491667897","-0.921529037016687","-4.32537009103818","-3.54057061264742","-7.0798141156603","-2.20929680399985","0.910175875026353","5.03216680924907","1.18397115935306","-3.39767474804622","5.87957696013295","-3.05772975527449","3.7002788381164","1.02547614846673","3.23509443008236","1.36313617124756","-5.8114783984662","-1.34872568225877","4.29098211575183","-0.0400755623519928","6.63805179224429","3.31437197783634","-1.24270606862582","-6.62828982342175","-4.60079545928216","-8.6436968824878","-4.0863648022544","-0.401438068922578","-5.03053618991385","2.52278551216359","0.336464631856333","-2.98012527871142","0.896406694628563","3.76651701303817","-6.78230603512339","-9.03205062407272","-0.949724526945017","3.5303647398668","-5.29997459536453","-1.04370058360619","5.33591966188676","-4.82311787960138","-2.08608417543659","1.55004343944974","-7.74130284632281","1.57987310829723","-0.593688631743006","-2.31753084353139","3.27471754122455","-5.17036526327039","2.95765596657432","2.98873048251637","0.472298205141184","-0.679038058190174","-7.33792500550328","4.81079377873554","0.214717014424846","0.752631162028792","-2.81493993005478","-1.54917959138435","6.23274152864087","-2.12793828056868","-9.42719024264475","0.778874145637185"
"Random_Vegf_72_0003","-2.87256735060823","2.23657446760792","5.67907490630469","3.17965864137265","4.82242185405272","2.08206721155454","5.11966615467433","-13.1964554635687","-2.94475772908361","-0.221207380776428","-3.60578540488189","-1.19454955820175","-0.634043115403744","6.88284951352927","-1.30449438587516","3.02303509693238","6.27987713809984","-4.65945820500202","0.19609191731033","0.901219661630571","-4.20407219962056","6.790208004893","-1.91492491109599","0.18372637886111","2.15627716224776","1.14101348193896","0.467801725319813","-3.76792355506693","-0.58387507965193","-0.979362112245903","-3.97529028886041","-3.06648373704557","-3.7805742934372","-2.88679332033135","3.07405135145935","1.74873627120205","-4.25407383579199","-3.1701531710738","6.85374957435237","0.181968506489646","3.419294798425","1.46170760295579","-1.13258164801789","-3.69783075033846","0.250980008599383","0.893489051981568","5.158860791065","3.36554812710683","-1.68991832239741","-0.61811088467521","3.35399763643206","-1.52476996024526","-0.707026469433908","-4.2569467187644","-3.35434621205986","-7.11808720358294","-2.37252493092483","1.20114429607092","5.18270127143319","1.20340861469383","-3.27498042695593","5.87977881704106","-2.96691483485975","3.69016856506925","1.1591522881068","3.3564921796959","1.46711341167019","-6.15345575037162","-1.07871164296257","4.37578278167253","-0.12005332918898","6.5652750418643","2.99198668539451","-1.19577238960648","-6.84745999856291","-4.43511467199573","-9.00575148048586","-4.17756446568392","-0.278617027820643","-5.01497803160792","2.40798710236527","0.389390934157179","-3.10493379326117","0.844961688179681","3.77118527681975","-6.58481084313005","-9.5503386659247","-0.737708896857566","3.56688461105762","-5.32241835332587","-1.02043524270597","5.28566568260333","-4.79645114058997","-2.24945563998179","1.64391786587289","-8.33307760206058","1.57209853011809","-0.180777805829388","-2.39373011541489","3.47074617578864","-5.01710939939792","3.12350119962828","2.84924999353215","0.726177157350785","-0.578774608164928","-7.43462664653483","4.70881582690783","0.362680319008778","0.927315976896706","-2.62011377609088","-1.64251379043686","6.2424740193229","-1.91203404293378","-9.63731275109644","1.06417968593497"
"Random_Vegf_72_0004","-3.04649258452046","2.20919301631907","5.46529136118553","3.15222607530212","4.5754528457785","1.93971815820091","5.01856400374938","-12.7376824580157","-2.97919591606629","-0.394820938235063","-3.69443482631473","-1.10461468253032","-0.75105625318422","6.84229554032194","-1.47696507214499","3.03084305541621","6.48463669678585","-4.42393941919691","0.33868814741108","1.08417224177639","-4.40410371783781","6.8158820559656","-1.9562823330929","-0.0235765558217094","2.08698612353554","1.12163820450205","0.550662543375027","-3.67486868531085","-0.682792067506612","-1.06318972516531","-3.9590490597761","-3.04917230876133","-3.88705021704198","-3.06862452711802","3.19811567955338","1.72556366878976","-4.67036201613801","-3.24683927370386","6.93269718078174","0.324580322233035","3.38596715168835","1.44099514835004","-1.13686096161806","-3.44051736592086","0.126725207071663","0.839427510655861","5.07785003964487","3.21693486094104","-1.72717447612769","-0.761493919924063","3.27147163854153","-1.39326859936938","-0.621204108304447","-4.43802861829565","-3.49226881696649","-7.3425756674202","-2.4651014805637","1.17123176651298","5.28320653548088","1.17032935151729","-3.35760802740471","5.73588336936263","-2.98209405586498","3.63787342865597","1.18064695497547","3.34846757404078","1.72121161047704","-5.53256185262827","-1.25687976051014","4.47235944391736","-0.0517003793872604","6.76061045022711","2.97361913463287","-1.20076813175434","-6.75672892237654","-4.49693427010416","-9.18819050440694","-4.34580651933688","-0.388185884059522","-5.2054360488427","2.40222702360534","0.422774490523656","-2.94000240909709","0.956495474013569","3.89963304336352","-6.60454594894051","-8.84436879342699","-0.655957496694832","3.38197638770894","-5.30611347807756","-1.14461552272784","5.32743640213368","-4.97064778800082","-2.33152079521003","1.62667526461642","-8.26829918717928","1.55064975072883","-0.381882176142023","-1.93526875730601","3.57136708875027","-5.24500656135138","2.93638329359172","2.83693111077297","0.787661562166397","-0.491264891132879","-7.57782484972096","4.74504011743083","0.420083233164398","0.64965186832128","-2.70320235603949","-1.78594028945643","6.12445181929","-1.98154615696227","-9.52941373410922","0.975324887506342"
"Random_Vegf_72_0005","-2.7456192841258","1.91662381079365","5.31522526514614","2.98917525910915","4.68486096129133","2.18092875863914","5.14708430828185","-12.9029424016868","-2.61347643456854","-0.314316582227089","-3.4201434930055","-0.867913592254626","-0.680187241135583","6.77417944136486","-1.25714964790408","3.14701278108502","6.25029147153385","-4.31563140376736","0.51333593336561","0.998833575055877","-4.46818169575589","6.65534992864771","-1.75984774974546","-0.0521701628491558","2.33701255862567","1.49786923138529","0.469350392274589","-3.32740935468547","-0.182701348236265","-0.734060505500253","-3.736394440533","-2.90719580767567","-3.85380669286341","-3.06392679971454","3.07775601593863","2.10234534246843","-4.30930573995308","-3.03295415359756","6.67192892098629","0.355165241452856","3.1140900484324","1.63762371448327","-0.860197903132429","-3.59374652758868","0.334711748543793","1.01214367822291","4.67741704106202","3.14034353367284","-1.78575491518232","-0.793117422818858","3.52513727596094","-1.07569445167381","-0.357210479831798","-4.27208753595056","-3.09000583506478","-7.19092099185518","-1.80179705000259","1.22534252729057","4.81555811535522","1.16211261443486","-3.31990487637594","5.78321607972502","-2.8010857715629","3.53255268377175","1.36752276681161","3.41854043449011","1.8704907472568","-5.36762134858392","-0.801915541597584","4.17000181942556","0.125144898502013","6.3181209268509","2.77085142967342","-0.91473904782637","-6.58728277062048","-4.30045808451559","-8.97599611030811","-4.51603665068351","-0.401856403229974","-5.07332098657856","2.07729285404547","0.341555882728949","-2.93515329127852","0.711462406743554","3.5080723359943","-6.74874600996497","-8.73238387877036","-0.493470968703257","3.266522601061","-5.32774477458701","-1.29210068404899","5.15675896635325","-5.20085180679718","-2.20003750149133","1.47659451924428","-8.12180429556693","1.6180925539842","-0.256416324895812","-2.18376288655381","3.69560260447561","-4.97644958781121","2.76349876312396","2.59841960078324","1.03416140096211","-0.351487823704864","-7.51198237670901","4.47690752957789","0.548822022314386","0.613762633749799","-2.51044897439963","-1.8196201169182","5.92760643299596","-2.13783965195675","-9.53870421982878","0.972492277192949"
"Random_Vegf_72_0006","-2.90243398112895","1.97498261362857","5.31926252492777","2.86074177488813","4.7725202779042","1.97288163804716","5.0632195301195","-12.7047027622032","-2.67622224654921","-0.15209626238863","-3.56047387133036","-1.07621574599663","-0.441952816194057","6.79641726066111","-1.4664991707342","2.93571362231551","6.31843943411886","-4.87301959193071","0.379515854640044","0.70390788150829","-4.15167127003151","6.64931995212658","-1.90687859232428","-0.0299007269233365","2.21075603301174","1.39401926003159","0.430506485677506","-3.55281176097393","-0.647593683970796","-0.943599090924592","-3.86131370307519","-2.80220223027641","-3.73275161199349","-2.93097904285816","2.97078168573076","1.99165093675368","-4.28366031313893","-2.99003763675594","6.8285896954546","0.14793097656102","3.26077690145389","1.54858979206922","-1.30328086962196","-3.64276790713007","0.0185934970201335","1.15659672831946","4.76846441011959","3.17318010079813","-1.80538919844195","-0.856872193865811","3.33015307186981","-1.11760175667742","-0.516482448186505","-4.32555000763124","-3.24308169587515","-7.14993054633057","-2.01407974916384","0.979640294967341","4.77548629122823","1.37401574613425","-3.34377021014842","5.74090478007934","-2.89268677878173","3.50995183961536","1.15742691857316","3.48148395103297","1.58521877871447","-5.61541995829165","-1.14813772406404","4.21031652353657","-0.00576508520364326","6.51311731252743","2.92165077790679","-1.19170609521275","-7.0154380465489","-4.05753411277858","-9.01613347988256","-4.1096751620374","-0.371244429096768","-5.1090432790962","2.17737986697998","0.0736448831605683","-3.19161295382953","0.600774562762543","3.60537216421656","-6.587836355867","-8.80196160641734","-0.574733143257101","3.40319190789721","-5.56644948363566","-1.49728164688555","5.25262395343513","-4.91113782614359","-2.32226306454175","1.39700302088586","-8.33836307957823","1.66209371699395","-0.303123346632894","-2.19458993446021","3.37010101153087","-5.27938530574297","2.8837623839165","2.60927538305473","0.805268172602754","-0.725497601596341","-7.72509980242549","4.62794398848529","0.312682754964797","0.590121790382411","-2.63700019391904","-1.64383563010757","6.0139490136698","-1.88108320604218","-9.60391956116862","0.863601357017436"
"Random_Vegf_72_0007","-2.84286905259423","2.20784979961281","5.59691969986981","2.87591986137543","4.74223521132883","2.0727540935666","4.82619555815845","-12.6675048954934","-2.87329425012451","-0.275007718039848","-3.61523783647212","-0.991401079034613","-0.630675229625639","7.02814083555724","-1.21593520324946","3.04074775482611","6.23778645839897","-4.66100096643561","0.167829284424022","0.932985336094158","-4.03208976239651","6.80066636297064","-1.90135698863385","0.148152434510511","2.06331299908847","1.09004900237413","0.196140148889287","-3.65246285156091","-0.554421466487672","-1.0608461041078","-3.95690046400073","-3.16989374013144","-3.99534939150231","-2.93949800185231","2.94522435537479","1.72980673140401","-4.46398661925019","-3.49840588990461","6.8682020572565","0.0506886497078018","3.24924370711218","1.41162949616364","-1.1708771733429","-3.31637830491435","-0.178118753110295","0.767520695167311","5.1484830764976","2.98524748476943","-1.78485569717686","-0.790636508313625","3.45769722837034","-1.22312148433554","-0.678090264640762","-4.49719163681795","-3.37242865868303","-6.9551509251806","-1.87924639382337","0.988391663128204","5.05556432394614","1.19554046924716","-3.19508842193","5.74253850727206","-2.99899343696833","3.56432746652877","1.2056463464434","3.2597577739612","1.41414768693587","-5.65884119240511","-1.01650735719064","4.41968299450904","-0.178338806978743","6.75333628874053","3.04337983182113","-1.27263982378533","-6.87944442027998","-4.37246839429255","-8.85957503977186","-4.10872498928301","-0.440038745652298","-5.43419318854039","2.1880908015504","0.258017348074701","-3.2059461734191","0.770210648273211","3.70666031376268","-6.71773868902542","-8.9813827363224","-0.70655068570644","3.36534837996441","-5.43928419668541","-1.46120058433469","5.34072166363709","-4.91410285354681","-2.29372898715001","1.53506756019022","-8.42992293815202","1.72322760429531","-0.47949874888574","-2.15682530076802","3.3900936237757","-4.98195106277667","2.93258525586406","2.65257069400027","0.757911156071166","-0.504785480989454","-7.30704077050792","4.4103791042231","0.376481649796683","0.590028382805347","-2.75101412282737","-1.70740443655773","5.99808970097933","-1.95838271101286","-9.73620842473593","0.793168691676341"
"Random_Vegf_72_0008","-2.56879171095147","1.99752089933137","5.66108204390523","3.05371629486306","4.72531166177065","2.00463659409516","4.83933145272173","-12.9071167142477","-2.98327735358747","-0.145233237036576","-3.6020332522623","-1.13046033513003","-0.509660632422144","6.97815446803782","-1.07599423473012","3.206937634223","6.53104510764341","-4.64606215447685","0.438507849624828","0.880915584492323","-4.29774929059211","6.87504390710852","-1.89259551144166","0.163832188109528","1.97090041146028","1.35071159190113","0.511717515981293","-3.71316116669635","-0.395250502223058","-0.767481059500045","-4.10487737113248","-2.87587053792337","-3.86643648361114","-3.10405993526426","2.9788455371031","1.83072224681256","-4.61837811321294","-3.32193049210653","7.13945659111013","0.198327179123108","3.24061603538091","1.60230876703767","-1.16737298355449","-3.52409206953611","-0.389799427134548","0.709182805284764","5.06798713578888","2.96274666294344","-2.10234571835932","-0.905774791897349","3.49018866836337","-1.17267792132802","-0.358369100756708","-4.21210369235952","-3.39647135447691","-7.34859019936817","-2.07209180327202","1.13190884741378","5.0076599603345","1.02590242581678","-3.46610487875803","5.69450981713294","-2.9392935938103","3.38479638012127","1.4030533102113","3.38052889174273","1.77852225937748","-6.01897335185352","-1.16017331431634","4.29208228031985","-0.169941632244052","6.60338604886724","2.78786054311315","-1.54894400943988","-7.05835870070978","-4.58179928651351","-9.41201201233981","-4.26985222882141","-0.294925369592515","-5.19995403124476","2.21535722353967","0.398749716424193","-3.17243121784022","0.621966347029539","3.84623504504879","-6.77059383009967","-8.85739338638991","-0.813184364114201","3.29846338327177","-5.65485452459219","-1.51124595857039","5.54833271209968","-5.24511977549535","-2.38783598528352","1.51292308564134","-8.72205183118287","1.72254357077663","-0.259599763710104","-2.02217100605714","3.56133839344506","-5.29084068476844","3.28987303624435","2.7322703772949","0.767833747990796","-0.413766489031908","-7.43763412110333","4.47236512643982","0.242314823883478","0.598231557877926","-2.43515179782618","-1.84495913930427","6.05898291731834","-2.0846545497939","-9.81478289331463","0.978161594127213"
"Random_Vegf_72_0009","-2.83652107707222","1.96155437986225","5.34486213999172","3.06425760105521","4.59809718538635","1.97845351199358","4.95933295482577","-12.3706340827823","-2.50933743913236","-0.0610379062695556","-3.45882689290957","-1.06038285822177","-0.447474271563966","6.49302804440109","-1.1506782974098","2.78528969959721","5.84314413254837","-4.60428227436604","0.324301519042008","0.511023585293999","-4.26382959380011","6.4766046738934","-2.10516718474743","-0.27432951690837","2.317761951637","1.0599072005993","-0.0706858703419656","-3.59671912807946","-0.59883771093517","-0.783032787579521","-3.64462343081044","-3.19302033537755","-4.10536189983795","-3.18908162277384","2.87117471786618","1.85832933886833","-4.01203069939485","-3.1732095085343","6.53988026871044","-0.0150569588677515","3.24220907375632","1.22629921915668","-1.30496099071395","-3.48397457016226","0.22624190475203","0.583558654953345","4.97157596341405","3.06483797653219","-1.78760747322855","-0.523153828777801","3.54755637375592","-1.17043325919215","-0.857639950484051","-4.21899911879646","-3.61488664207463","-6.63434131341328","-2.14997742372855","0.91169471116641","4.80149531812049","0.814105062248342","-2.89350274264948","5.59022978691192","-2.64836093023963","3.66427636117492","1.011084529339","3.01914976271758","1.40058928447293","-5.48890745373557","-0.862172576497991","4.03861970699886","-0.280059778537833","6.22608413099684","3.26304243208233","-1.08431614382726","-6.49922784781703","-4.17518876616991","-8.88846790374607","-3.65778551842777","-0.0942730964139823","-4.67542299051752","2.48889399265622","0.0555853839991226","-2.90819379360131","0.706728461322188","3.55922457078663","-6.19099916676442","-8.77444199896474","-0.665064562463774","3.25102840738994","-5.94338693037364","-0.991593660229656","4.75639931943123","-4.71715132545734","-2.15719127566883","1.08057742705246","-8.27378090091056","1.4813230758976","-0.229796773477135","-2.46806478360043","3.15289903265669","-4.70313402259428","2.74289459745099","2.8422141304715","0.651232928356248","-1.02795860053224","-7.23701006945113","4.51750095545227","0.187736003192897","0.925361729759276","-2.51138619157333","-1.5337254131337","6.07417330341774","-1.74492895509343","-9.16429950318915","0.762872806609428"
"Random_Vegf_72_0010","-3.27879927137238","2.21621481264567","5.78167565490657","3.23118172126047","4.90884422769016","1.907695357339","5.21369391171613","-12.6753374916899","-2.70972564420581","-0.655339032611979","-3.94364551199988","-1.62142537049333","-0.995585184845913","6.51311779323258","-1.72117366565074","2.97545530675215","6.02488320296201","-4.88161015602788","0.121313305385855","0.915967836983887","-4.05199537648654","6.42520059961784","-2.48882966968572","0.173298323769516","2.6410437788405","0.806417512825456","0.0640602435255455","-4.16914732884301","-0.496475695875593","-1.44980539091109","-3.84499720508532","-3.44329125128247","-4.36003295431034","-2.86414427268173","2.90487373324838","1.5270081066941","-3.82505465866198","-2.71614015114163","6.57384428100643","-0.15359974961137","3.53928395552951","0.917053716206523","-1.59336349080307","-3.88784556856405","0.568541852757312","0.940308585111228","5.19121076873538","3.43954405221036","-1.9720161317897","-0.23556763964249","3.64257037392232","-1.57632225412938","-1.12916869924587","-4.4714945524672","-3.66351004201259","-7.05271819123684","-1.91551815683384","1.05083954838648","5.26395603405434","1.36170779049909","-3.08720210855066","5.89071942611493","-2.69242674162729","3.86251792349688","0.670217697388598","3.22594865769689","1.41704582481835","-5.46807857396752","-1.1437334947401","4.26957960798991","-0.229276057706415","6.44319647023828","3.30537894876457","-1.10016496761798","-6.38355170486735","-4.56524101378218","-8.33572198514968","-3.75643653348532","-0.490081663639857","-4.7753438774526","2.60322236417363","-0.0689929104783988","-2.85362369850354","0.986365804808868","3.7298039250909","-6.60572847738937","-9.11421492710675","-1.16484826866567","3.72697947183127","-5.37111851352544","-0.586481807649098","5.03721121709261","-4.67778901205255","-1.95596053217737","1.24896050102334","-8.20818654714442","1.62872261391083","-0.567891650319737","-2.30217525326948","3.18014844272106","-5.03520479871639","2.79468572175581","2.95254317677832","0.540002738294433","-0.90077390140771","-7.63225541796888","4.87526747698585","0.0914623100600348","1.10233465611682","-2.94670467547136","-1.46863179660612","6.44273302300218","-2.04554815021746","-9.50681745058696","0.8054642817687"
