"Run","GSM1402321","GSM1402322","GSM1402323","GSM1402324","GSM1402325","GSM1402326","GSM1402327","GSM1402328","GSM1402329","GSM1402330","GSM1402331","GSM1402332","GSM1402333","GSM1402334","GSM1402335","GSM1402336","GSM1402337","GSM1402338","GSM1402339","GSM1402340","GSM1402341","GSM1402342","GSM1402343","GSM1402344","GSM1402345","GSM1402346","GSM1402347","GSM1402348","GSM1402349","GSM1402350","GSM1402351","GSM1402352","GSM1402353","GSM1402354","GSM1402355","GSM1402356","GSM1402357","GSM1402358","GSM1402359","GSM1402360","GSM1402361","GSM1402362","GSM1402363","GSM1402364","GSM1402365","GSM1402366","GSM1402367","GSM1402368","GSM1402369","GSM1402370","GSM1402371","GSM1402372","GSM1402373","GSM1402374","GSM1402375","GSM1402376","GSM1402377","GSM1402378","GSM1402379","GSM1402380","GSM1402381","GSM1402382","GSM1402383","GSM1402384","GSM1402385","GSM1402386","GSM1402387","GSM1402388","GSM1402389","GSM1402390","GSM1402391","GSM1402392","GSM1402393","GSM1402394","GSM1402395","GSM1402396","GSM1402397","GSM1402398","GSM1402399","GSM1402400","GSM1402401","GSM1402402","GSM1402403","GSM1402404","GSM1402405","GSM1402406","GSM1402407","GSM1402408","GSM1402409","GSM1402410","GSM1402411","GSM1402412","GSM1402413","GSM1402414","GSM1402415","GSM1402416","GSM1402417","GSM1402418","GSM1402419","GSM1402420","GSM1402421","GSM1402422","GSM1402423","GSM1402424","GSM1402425","GSM1402426","GSM1402427","GSM1402428","GSM1402429","GSM1402430","GSM1402431","GSM1402432","GSM1402433","GSM1402434","GSM1402435"
"Random_XBP1_45_0001","-3.18991983500291","2.29885444681747","5.76935760516011","3.30899587585487","5.09832184076143","1.88074398462257","5.25904695994042","-12.6615941009659","-2.71872911337035","-0.562257354934713","-4.04430482217417","-1.49321963826526","-0.791911178235031","6.66313034620967","-1.77109945585046","3.02598163473631","6.01530211133254","-4.9931680127595","-0.00981304665024905","0.940590362244163","-4.04761618457038","6.69221345776539","-2.35352714206393","0.10251349128013","2.61961053503898","0.831422451407964","0.438184583939364","-4.11587795063273","-0.27094149500192","-1.25563552844667","-4.0295033041911","-3.47603338660655","-4.42010137741592","-2.83631208493338","2.83413606286596","1.65884472164373","-4.04459595474737","-2.79493058126473","6.75388362136247","-0.146432972261267","3.68028536122253","0.988242255018165","-1.5434232989635","-3.77048498949178","0.644934222836277","1.32238681169875","5.26957562860951","3.37004762952268","-2.10107504981987","-0.406576578536363","3.66874060809152","-1.65121295053188","-1.14970375685951","-4.42819339368737","-3.84735369146198","-7.12620855037516","-1.77636436246655","0.852438641845","5.19685442826671","1.3033707929373","-3.30737239926692","6.00787224956561","-2.89220257029831","4.04586922684175","0.670264981424965","3.10865161769573","1.28108953611789","-5.84666377491105","-1.28654468519979","4.38639386695084","-0.10085223349024","6.35954309644958","3.78285618654002","-0.915878819217445","-6.31437586699664","-4.51884862887535","-8.36706405810704","-3.69104270160201","-0.658009613091088","-4.80570185591337","2.50271253822978","-0.0841521912224024","-2.97629367478989","1.27673796771496","3.71876654225763","-6.56048141795339","-9.18533220570882","-1.20096449642516","3.70245820937419","-5.66816540297888","-0.7751954305764","5.33757634819177","-4.64113424079118","-1.74888941929406","1.45963468989486","-8.10738655489891","1.78606373994094","-0.724570503322316","-2.28309756607023","3.12427247437731","-5.09144974354361","2.57455090063892","2.94482030548654","0.487238779999904","-1.02563424475969","-7.5710443988828","4.78110239859954","-0.0123107269990189","1.08782694954146","-2.96684249168311","-1.23586749113521","6.39202890023931","-2.03894354856895","-9.58313036547995","0.635297329920599"
"Random_XBP1_45_0002","-2.80227155603983","1.81249257346475","5.58326748282948","3.06454602009556","4.89047393836739","2.06133810976973","5.23239905361185","-13.052116544692","-2.94830538660856","-0.21472759661766","-3.84140984094535","-1.28799813028706","-0.435392301919287","6.75965766168675","-1.37532627355845","3.36062213109192","6.33682178732403","-4.87283987838171","0.320406762367379","1.27101612572977","-4.28635711826821","6.70688486451397","-2.00930486282949","0.0817598364347995","2.2018438113366","1.26384392541962","0.594920526077596","-3.72098803457871","-0.487807555308708","-0.974952700595053","-3.99827433409772","-3.16564154605462","-4.1700948014426","-3.27332222624576","3.1116757634879","1.82800956484191","-4.41358443540118","-3.01098610677673","6.94980521014761","0.166751006332582","3.10655251466229","1.54990286396289","-1.3105229842522","-3.53062400135389","0.162914127842584","1.1351834566869","4.91530894148041","3.12420028214653","-1.72748820953272","-0.767408152173185","3.33593634323838","-1.40088974886002","-0.754887215902401","-4.45783716637159","-3.57413260346482","-7.03976295077623","-1.79758165854956","1.05899535456816","4.85053458282619","1.20809851297355","-3.41964921702853","5.72045789696538","-3.03975385651553","3.47836074390551","1.08759872017788","3.36832316430496","1.61775370015447","-5.9170383217673","-0.820744259480198","4.24719391242256","-0.0219483078117228","6.49426891693072","2.960172302988","-1.02461184135478","-6.81633617024372","-4.5610972197363","-8.83860664443257","-4.29970837580046","-0.338342723027409","-5.1421740786211","2.20819428787184","0.291416017820417","-3.089819706934","1.080715270996","3.50470648119288","-6.88878020866405","-9.1848753238679","-0.85312220646654","3.33000184367002","-5.48884939717626","-1.3757619791965","5.57127289302959","-5.18462898296601","-1.99247275617176","1.47827610009549","-8.26381036704612","1.65177304840284","-0.460217791068937","-2.2070640841803","3.41962855314057","-5.04132514214891","3.04357924427177","2.59689652587037","0.800531051905575","-0.598210125898653","-7.70467478292866","4.51387882149605","0.361861292128306","0.391786143482426","-2.73928096612771","-1.73057033809358","5.98659347823594","-2.12435452704236","-9.65235995161085","0.974403927700861"
"Random_XBP1_45_0003","-3.19278963553423","2.20666154977341","5.56944406265066","2.95098478422977","4.88614401793535","1.8642592225697","4.9736049443279","-12.6969816964665","-3.12693235162972","-0.381612858674741","-3.75255449161331","-1.12285545999804","-0.620707184630412","7.08730046150901","-1.44382307473841","3.31881236726755","6.36230317234123","-4.84535945071399","0.128497221215905","1.18927891448239","-4.15010424603035","7.07301540931547","-1.90485914772834","0.390264086447406","2.11336495060091","1.09376640074368","0.7139163985795","-3.62060815919371","-0.363386930022464","-1.02799083565834","-4.0980616813886","-3.1453141715381","-3.91453172086826","-2.95463288274777","3.13147910227603","1.62979798384744","-4.46620172410962","-3.50186559394046","7.00872774094476","-0.131073695858346","3.35173091506881","1.43275434597282","-1.39399982559192","-3.811070292969","0.107677860755932","0.835342014385223","5.22889067642106","3.10928737519976","-1.93185272644385","-0.753165248401177","3.651391964351","-1.28255665106015","-0.712584142996327","-4.14448386646289","-3.39748071249071","-7.21808872608846","-1.73151315969826","1.1455935804333","4.97692627199321","0.944366206047853","-3.43321078684219","5.82337671681298","-3.13006925243574","3.82063906152892","1.15098841806062","3.38812677407329","1.70799680623787","-5.6855845487405","-1.33026790068885","4.59458939589079","0.0107547984429824","6.76300231599895","3.19320632824334","-1.29064610316738","-7.13367618510383","-4.57767648300769","-9.004297030164","-4.03210281933429","-0.7666350762245","-5.35354675287574","2.29276870589387","0.258923549871578","-3.1929577696925","0.708098497938443","3.93100513423693","-6.83246065559875","-9.05309689025322","-0.751205325934075","3.44991079031356","-5.73926217829199","-1.37334130882599","5.5670009107033","-5.05327711736134","-2.07867542729417","1.73230385014537","-8.5179377331006","1.98522234622442","-0.705050349177896","-1.86723786948208","3.65846103045491","-5.2144494597688","2.94179213725993","2.91582719687276","0.681974813152151","-0.998431875697533","-7.54997235352411","4.59686131722673","0.176544551463238","0.62657407046815","-2.76296853335825","-1.73066002344884","6.0456585289349","-2.44733648942033","-9.65398802437696","0.732216250673137"
"Random_XBP1_45_0004","-2.99091988695371","2.08779726510993","5.45396703466664","3.06205398495631","5.0702859772775","1.95216768492649","5.08193930135172","-12.7228947550602","-2.90142764345782","-0.254553508536584","-3.64099335241988","-1.06643312164811","-0.416899751468371","6.82005696911454","-1.36642861775632","3.07860296818832","6.29751030448528","-4.68703587530511","0.333671077943637","0.992223993040883","-4.19079686469502","6.79858145253922","-2.05925182559025","0.19470799852501","2.05096252224203","1.18050249247611","0.361286079408456","-3.63167158041512","-0.508800660299596","-0.901077572687858","-3.85835175617109","-3.03966046225803","-3.8386674429308","-3.17311619389995","2.99724782397322","1.6299032318351","-4.49259287639978","-3.36509506460237","6.97110853531046","0.224515959103772","3.28997831676093","1.47164587158694","-1.17498094500364","-3.58865609997812","0.0968983534230886","0.889657196085307","5.05047913388564","3.14980873281303","-1.92385489165993","-0.711899143310874","3.48253526616406","-1.20454454442299","-0.611863873489021","-4.40945627925682","-3.33112926158188","-7.15962425375987","-2.149844851141","0.953215701509459","4.95258747202227","1.33784981203392","-3.38658687446645","5.78635821976474","-2.98506514785452","3.76543429598056","1.1754743296807","3.40497259198585","1.86832324226903","-5.40995677013786","-1.07829838100085","4.5503553376155","0.0666813568202046","6.5975635635271","3.0629613465374","-1.08819697063814","-6.86677314277533","-4.3713320662557","-8.88123367799727","-4.12424132348874","-0.552556275369997","-5.04712735747842","2.40095762707469","0.217161869163826","-3.16781614747578","0.836065425124142","3.62197403500211","-6.77860432691115","-8.99292981024923","-0.740865414055459","3.26389678611771","-5.79148350435771","-1.31424385529399","5.35243610688183","-5.00348544702037","-2.44315367099477","1.53756043977241","-8.27017071477089","1.92366424350085","-0.454770746051832","-2.08628672437971","3.31965271976379","-5.01047116622425","2.98763148166904","2.65639517873156","0.75943916490738","-0.693369158931244","-7.51201802510052","4.58369274544163","0.232512972688966","0.752214961611076","-2.46522827333436","-1.86134786814769","6.14827139671946","-2.18829942091758","-9.51854619489241","0.760426199457376"
"Random_XBP1_45_0005","-3.10993758887956","2.17119504558233","5.76586916955486","2.98938931941532","4.85884408339144","2.41375648233851","5.1601755465464","-13.070838569355","-2.39290622157812","-0.194511627513108","-3.56075623599669","-1.24171988479084","-0.381525871987317","6.71464176499762","-1.04801967818824","2.87803142511117","6.46645776758109","-4.50877166856858","0.247936366903082","0.74905894293976","-4.38124608209349","6.64240148334264","-1.86083868558665","-0.193189807532418","2.38337498127304","1.05839502344861","0.554856127485187","-3.63737145338843","-0.654886770983604","-0.888949454447355","-3.67580733895799","-3.17776780885952","-4.01869503615424","-2.90602072520606","3.47911472251052","1.51256146851285","-3.94949043017839","-2.8491320042651","6.80336951805186","0.249173466716532","3.18918346646571","1.51229137662925","-1.10289621133433","-3.35834506168868","0.107162578995211","0.974476823376468","5.21377404067398","3.39643646631121","-1.8584831718869","-0.569672313697613","3.40776552716177","-1.39238985863704","-0.792355184968548","-4.55060144967163","-3.64391097733383","-6.79755672193812","-2.04159869631656","1.31008745676305","5.06967837001452","1.31574625604024","-3.18127406739511","5.85496513619421","-2.86571799834725","3.68124503805657","1.0164941020876","3.62514561805537","1.57794696006961","-5.64864569668275","-1.10349982334816","4.2084435074013","-0.147799122685391","6.75768586727205","3.50668638081192","-1.32388076414695","-6.52940450987096","-4.47857816931627","-9.08067071816712","-3.90792836670957","-0.139366262102961","-4.97982690819686","2.45713740356506","0.405822176644045","-2.99695318830777","0.895143089879461","3.62199203443334","-6.65947020943278","-9.1787300794676","-0.862329932852024","3.56431893906952","-5.62100738737233","-1.0795609552151","5.20869825640178","-4.58466065893652","-2.24448152667171","1.33612434638779","-8.34224314701882","1.73304973075238","-0.0619020214102397","-2.19214296244213","3.7151140025795","-4.78860723145763","3.38059452371675","2.73758259305041","0.94605390488338","-0.531761470021188","-7.71314320242728","4.69072400678241","0.331546454711902","0.885680358295343","-2.81741278647353","-1.56574042606696","6.33279927278748","-1.71704528820993","-9.84009270144427","1.17430883802239"
"Random_XBP1_45_0006","-3.24551802178384","2.03972557711414","5.51653543734023","3.09515317075049","4.72478658155104","2.20192300769271","4.9652759674493","-13.0574655817452","-3.03706666100639","-0.142413238662785","-3.58650454838191","-1.15252920799883","-0.620471509319531","6.84030038125569","-1.13133632282939","3.14717844910315","6.42876991007231","-4.62389825870916","0.37866689821916","0.88293397700854","-4.40412216576868","6.92304415804808","-1.86710646590753","-0.115997979416096","2.2575549361113","1.1540992220286","0.504303541791264","-3.49020867742547","-0.689714356290998","-0.891912996057597","-3.95893063549659","-3.28506687648636","-4.09681936385848","-3.33622264880961","3.20496637385238","1.73358520687945","-4.47884438402602","-3.41915503751175","6.90033422794193","0.185058732484566","3.32500049065066","1.50039253018151","-1.20272581515663","-3.53553805642136","0.00448360243668678","1.06321262123402","4.81223964534766","3.10559276440503","-1.83766959904894","-0.729865452419846","3.26458019378582","-1.15560335870611","-0.780408533157999","-4.35132892901448","-3.68239375776246","-6.99635646489014","-2.06347980863224","1.28468406041467","4.88026321219473","0.952828563282796","-3.25674944343293","5.59607106951412","-2.83431299141891","3.57671524525767","1.19728458004633","3.40873413044436","1.52929135823673","-5.85358613902781","-1.13451318164216","4.34793173181152","-0.431661097555971","6.57577621603711","2.93397646170523","-0.924921445026662","-6.9721330039376","-4.60073805106295","-9.06513657629431","-4.4371325876961","-0.374394503307812","-5.36644860498758","2.36768923610602","0.398088815924021","-2.81687772445568","0.817363655991058","3.64840360364411","-6.53221601555131","-8.93945026082162","-0.699909122765992","3.27785860543587","-5.57400879007511","-1.17344262195928","5.37903443157326","-5.35487065426661","-2.18790114730176","1.40897915176993","-8.33718756689709","1.58177516578296","-0.364077832550259","-2.3221549990407","3.61462809311051","-4.82922708794757","3.01575711323792","2.84288526389155","1.04137388157016","-0.807052986402748","-7.51214737558902","4.6039320554786","0.509269799199502","0.521427692669745","-2.82346005715124","-1.9272479341601","6.07972220196335","-2.09098236564781","-9.29435761844643","1.04782636619308"
"Random_XBP1_45_0007","-3.13830729379419","2.1141788832247","5.44196736265634","2.94498837583281","4.5975338597698","2.3011591256921","5.25228892873225","-12.8733139804217","-2.68762954931075","-0.29152165895822","-3.90537688673656","-1.30409377853496","-0.835250643862853","6.84711251889861","-1.46876163617698","3.2075866025282","6.34574369209555","-4.43460110166907","0.175916631512162","0.975587539320692","-4.2105729906858","6.75615245860071","-2.00731097380193","0.0781724628933301","2.09961607128919","1.28711221364555","0.389691087027167","-3.68332734359093","-0.654976072855967","-0.942582471509566","-3.76256776358874","-3.14310408700422","-3.95469523391625","-2.84619917119175","3.16919167229413","1.74171249731542","-4.34606586989986","-3.24589124372126","7.05875369345193","0.462202816117082","3.1454107773725","1.50158841747146","-1.02979616570196","-3.34745901016407","-0.00696545350816489","1.15272793654703","4.99107977473227","3.12411611280548","-1.50067748609411","-0.78305493771382","3.26809155348938","-1.4817384708227","-0.790798585451898","-4.34566637870257","-3.79514242225775","-7.26895051788462","-2.25827846068694","1.12242970262374","5.11398687718935","1.08681251116326","-2.98670172023528","5.78782739384966","-2.82805828448551","3.43660830862393","1.31261632476373","3.32785636949696","1.65916150941651","-5.553328193158","-1.23469409371197","4.40915527336595","-0.228472092517593","6.47181795634425","3.07083279637817","-0.869011807104544","-6.85172424001002","-4.50844606698204","-8.80581853315424","-4.21378841417471","-0.280971672410144","-5.15082639695063","2.26586539908034","0.348699164115432","-3.13238404694578","0.914606808835464","3.72946567775501","-6.63664146068644","-9.01160110866351","-0.58688231913206","3.46942278789334","-5.28009510694549","-1.3599553179922","5.32574313704699","-4.93597574632338","-2.23202639804973","1.22037296713629","-8.40526785590496","1.51912719404962","-0.271937720692533","-2.32634530173219","3.46659062846315","-4.96533737525169","2.87283723780585","2.75875496898301","1.02750546678283","-0.224611770284768","-7.55640701380406","4.49822978905462","0.367701224413242","0.512343333650647","-2.78761653230661","-1.73404172897416","6.17085136191509","-1.98861920582918","-9.39105305118375","1.06688663659567"
"Random_XBP1_45_0008","-2.92585731741242","2.34655807701887","5.61505887462559","3.2424351390919","4.95390860657012","1.77023550993832","4.75506191605579","-12.6408269928037","-3.1573547353086","-0.574184036447291","-3.90929512756985","-1.41860635152036","-0.829702096708126","6.88139859667313","-1.47063791982739","3.30883670197036","6.39444245396329","-4.7372388515894","-0.0267811336126574","1.0604660140182","-3.92745055805232","6.83083498429596","-2.13556143299771","0.269222733840844","2.51375383793136","1.10949958663849","0.443950273498213","-3.89288782863889","-0.18477885204581","-1.21974027166562","-4.19159598108169","-3.32455639423804","-4.1270230916027","-2.92063533193548","2.99007245563584","1.65552436316984","-4.42690699938748","-3.11749243961056","6.88597489150261","-0.0811987237744039","3.28792319685141","1.12785155354884","-1.33041479382132","-3.53734034424795","0.211711359370378","1.03330548361542","5.15268808686175","3.19421245466138","-2.03712210939374","-0.541807183636552","3.63396856308652","-1.36168077838091","-0.896740910792065","-4.08577750485735","-3.41878381293077","-6.85638061330578","-1.83757616873681","0.952867492321082","4.99353538891278","1.0717312242291","-3.32510935886301","5.75267603735075","-3.03670046389171","3.7854001941782","0.873089517117587","3.31720779841528","1.28276001373901","-5.59671919940734","-1.24811261080717","4.50260960373997","-0.10771854951845","6.60264133437933","3.13465466704234","-1.45820628743979","-6.84017406069078","-4.40608792562006","-8.84537021794111","-3.97020837593625","-0.479055625284894","-4.88223361340804","2.51033264444758","-0.0456872862853875","-3.22892397582731","0.98149699256509","3.77802251346294","-6.74513110546332","-8.87238005528835","-0.900015666606237","3.49092027715446","-5.52362304635299","-0.995690400505489","5.33983785472648","-5.03244914385287","-1.97760153039136","1.69212790599179","-8.04550237141441","1.81070961699719","-0.665893892173673","-2.11370791270679","3.43405793063085","-5.30314686512545","3.03921314112764","3.00651081681873","0.452014739920524","-0.788824251399126","-6.96540201285785","4.65303980431229","0.160532329163867","1.04891079850103","-2.5574990907398","-1.55070303520845","6.24583024433589","-1.86220934364825","-9.6513041640242","0.700792975266995"
"Random_XBP1_45_0009","-3.06672339346809","2.26071585476583","5.61918842864927","3.20679528307036","4.83240528270219","2.03175459849237","5.45162767619619","-12.9399298532297","-2.74152135169782","-0.319140257480654","-3.77993854312589","-1.25571942834271","-0.520188585124588","6.9572074056842","-1.55436470533534","2.9900056712686","6.05498112267109","-4.69424270540156","0.124234634643801","0.847451112438513","-4.26951025573311","6.96928678655392","-2.18576368605077","0.159192368249933","2.4912565332641","1.08639944780466","0.248978337337054","-3.71314283439106","-0.605748888035468","-1.15381918740604","-3.86124055199264","-3.22464026364541","-4.2626702345699","-2.83900691360591","2.94111133561819","1.72855660719825","-4.02160754073185","-3.41730469655175","6.88146327776264","-0.013287655441441","3.4406402733648","1.33697598444392","-1.49433554690334","-3.42352193818753","0.0993272390922865","0.664900377787579","5.19458835854606","3.3114088121767","-1.85618560402142","-0.519757053036467","3.74344341172069","-1.26728211324136","-0.779527321183177","-4.62944029247551","-3.74620738059921","-6.95531051943119","-2.13084688743194","0.882722196580303","5.28045488386167","1.30244119028199","-3.12165377300551","6.04393652544707","-2.99079318613791","3.79789778061375","1.02325437389362","3.18957909490521","1.66477637957871","-5.7944012713838","-1.17903397700871","4.26979466333879","-0.246346411196183","6.48845675669956","3.18312239553313","-0.926084198458311","-6.58129483143528","-4.2054783701454","-8.95614366347676","-3.88371682348489","-0.425919563596212","-4.96324448705427","2.52164799827823","0.0766767587657529","-2.98070460772329","0.898804327064114","3.70130067163834","-6.53656436132427","-9.13809538284112","-0.878618969012723","3.5835404384874","-5.66583083635205","-0.970122778883724","5.1424816540703","-4.88320061531214","-2.35018411135694","1.37751464738021","-8.74385998237429","1.69756241138341","-0.410193303276234","-2.41558068340991","3.28031205752271","-5.15073015899365","2.78840315269699","2.96185647784011","0.692864077764037","-0.893238506856697","-7.48586332598743","4.66956952844089","0.286509423667052","0.997051702197974","-2.94414876262452","-1.72592939660744","6.28924558758215","-1.86863009040885","-9.85291961325517","0.734654194584553"
"Random_XBP1_45_0010","-2.90626850309569","2.21306459885025","5.63576974765514","3.20457993797458","4.99016566379425","2.13967173865832","4.91884309540859","-12.8261200724539","-2.89281419104517","-0.163733118138825","-3.50815079563268","-0.943964775149258","-0.4870502956074","6.91580729031708","-1.01852901531056","3.22011950564578","6.48691329680195","-4.60856079659289","0.626253699916348","0.960324579286336","-4.35858209940324","6.84776005922297","-1.87836028450036","0.097856489039107","2.32655414559204","1.07541015211549","0.167492375524839","-3.48838012875434","-0.528504344264141","-0.790185539916719","-3.87354216398253","-2.92237873046906","-4.14099870540208","-3.01040597358295","3.13810445374747","1.92173287465818","-4.25418434389412","-3.19606214038064","7.13093197063785","0.239993071706153","3.27959480774646","1.7242029611026","-1.2609414649401","-3.48637667526419","0.154732291173513","0.755263947016216","5.1053960255932","3.14615510835248","-2.000275434754","-0.641012629690125","3.53591077496337","-1.28801918786732","-0.593533160697428","-4.4245863683659","-3.62344846093504","-7.15003676793982","-2.1873040472319","1.16399813300484","5.06269318784109","0.91033225101372","-3.23156487001051","5.78766256271281","-2.80498661892318","3.77616757417322","1.22513217363667","3.42281166677546","1.53679955888052","-5.84668381294407","-0.778370697166962","4.58580176585228","-0.147127146148588","6.69051908440455","3.10992580159701","-1.32262838337915","-6.78418700745466","-4.31692306950235","-9.07967373516227","-4.2981305100418","-0.468088251155272","-5.18590382637374","2.51618968696843","0.581126400765729","-2.76624588577333","0.822483159732183","3.83220144007856","-6.57186576205183","-8.87783832461199","-0.842950843241791","3.65582785997398","-5.64315736370268","-1.12005488781795","5.1715421691416","-4.79399656126595","-2.28125792432402","1.40133191242596","-8.65040521952212","1.6495866591248","-0.182677114910947","-2.3168884935903","3.57909660121342","-4.92020201192595","3.2676161618345","2.8536664782835","0.950921318507179","-0.828217402294201","-7.52817348671632","4.61962181529727","0.606379005834733","0.722243801634723","-3.07251192599846","-1.40939695240689","6.20206470178464","-1.9806175747536","-9.57943070165849","1.13814080214738"
