""	"GATA2"	"PGR"
"result.1"	0.0236913362838611	9.29833987584061e-11
"result.2"	0.0291673471316558	5.42179634521744e-11
"result.3"	0.0385054099487585	3.39022143691636e-11
"result.4"	0.0367513672860083	4.92577090227542e-11
"result.5"	0.0347313599880292	4.10020906116415e-11
"result.6"	0.0187901486521547	9.98410243369108e-11
"result.7"	0.0393875331995219	4.28372892713469e-11
"result.8"	0.0281135475962468	7.93820564837233e-11
"result.9"	0.0312711432618515	5.72479841309814e-11
"result.10"	0.0294180680376748	3.73197028835648e-11
"result.11"	0.0366259665152597	4.01469968380752e-11
"result.12"	0.0343733335788605	3.61604080012512e-11
"result.13"	0.0233169193387863	1.12641229677024e-10
"result.14"	0.0304295467662259	5.95168359041054e-11
"result.15"	0.0285472586270696	5.83970649614685e-11
"result.16"	0.0327850057574037	4.2727377191909e-11
"result.17"	0.0285434751421338	6.43993747218019e-11
"result.18"	0.0245304752148474	9.81412728862097e-11
"result.19"	0.0325243846969632	4.43811654093906e-11
"result.20"	0.0275834417872292	5.37001554334893e-11
"result.21"	0.0245793530627025	8.06474886871911e-11
"result.22"	0.0234737434248944	8.09696754089373e-11
"result.23"	0.0314644472884043	5.5972781964897e-11
"result.24"	0.0299632281262143	5.80255843374289e-11
"result.25"	0.0272171921988296	6.92719215322768e-11
"result.26"	0.0321767909702673	6.87485623984685e-11
"result.27"	0.0218122020463538	7.69866392857921e-11
"result.28"	0.0376348705768064	3.05653280463503e-11
"result.29"	0.020225439788458	1.04319886062854e-10
"result.30"	0.0425841894558427	3.79840603415005e-11
"result.31"	0.0213911177455897	1.30773392115202e-10
"result.32"	0.0434369978422906	3.02717850786394e-11
"result.33"	0.0279877996763374	6.16227069372144e-11
"result.34"	0.0259842531024552	7.68574093257257e-11
"result.35"	0.0407224332087122	3.88309384646846e-11
"result.36"	0.0324784214578537	4.63684646234697e-11
"result.37"	0.0408602182189275	4.03601596588032e-11
"result.38"	0.026302029120933	8.69286864713104e-11
"result.39"	0.0240356137343885	8.94966323272683e-11
"result.40"	0.0260567008197334	5.92963456114148e-11
"result.41"	0.0412427001017679	3.28090887791177e-11
"result.42"	0.0421756930093071	2.44455566900115e-11
"result.43"	0.0305017204145035	4.83204587453656e-11
"result.44"	0.0388993786660654	3.51678686172363e-11
"result.45"	0.0325732186436127	6.17079720655056e-11
"result.46"	0.0242489131771746	8.80553407967e-11
"result.47"	0.0216842357937359	1.0809286798974e-10
"result.48"	0.024447906922705	5.96722671275529e-11
"result.49"	0.0216770274679254	7.89737164552662e-11
"result.50"	0.0429123704055334	3.54882789821431e-11
"result.51"	0.027143871149188	6.78568312650896e-11
"result.52"	0.0619605987627418	2.03659311637239e-11
"result.53"	0.0351733576237903	4.44329018023382e-11
"result.54"	0.032208287606192	6.07298655808108e-11
"result.55"	0.025723519985122	1.25435439812804e-10
"result.56"	0.027692295236462	6.66551258632353e-11
"result.57"	0.0207388265994093	1.00266017710737e-10
"result.58"	0.0295652537786508	8.1370465920827e-11
"result.59"	0.0280698919880906	9.01028140987137e-11
"result.60"	0.0197452620573693	9.81703607294548e-11
"result.61"	0.0294261760138281	5.36810595974657e-11
"result.62"	0.0178934138300249	1.36412436901878e-10
"result.63"	0.0215263329350419	8.34770030877507e-11
"result.64"	0.0285728905252352	6.65174582081818e-11
"result.65"	0.0531128212896177	1.38473676969397e-11
"result.66"	0.0183341646860173	1.5229861816124e-10
"result.67"	0.0261894882927693	7.5313533187682e-11
"result.68"	0.0373870388390374	3.55422358211399e-11
"result.69"	0.0244917678183716	1.12889253500725e-10
"result.70"	0.0295921745736574	6.22817353246319e-11
"result.71"	0.0216175405869272	9.42190769848139e-11
"result.72"	0.0252635555848195	7.77782283023498e-11
"result.73"	0.0310502764805085	5.33233457389315e-11
"result.74"	0.0267454148893695	9.4674934558725e-11
"result.75"	0.0190888391543365	1.27768462476752e-10
"result.76"	0.0291804869438883	6.74689193402855e-11
"result.77"	0.0327270434483904	6.0942584312329e-11
"result.78"	0.0368693506210023	5.28550536671446e-11
"result.79"	0.0192798808274186	8.17452772139404e-11
"result.80"	0.0491039615292941	2.10738093642249e-11
"result.81"	0.0231213161075763	7.04643010607242e-11
"result.82"	0.0326248361055246	4.40556480185705e-11
"result.83"	0.0379466723627935	3.89128729239019e-11
"result.84"	0.0515923434363839	3.41267014647428e-11
"result.85"	0.0281201660445178	5.8617555254159e-11
"result.86"	0.0375396741352723	4.27533564106852e-11
"result.87"	0.0316715532560718	5.14612796820302e-11
"result.88"	0.0306207168554775	6.42970121589315e-11
"result.89"	0.0296368479998566	6.65398847132792e-11
"result.90"	0.0207854890593546	1.05320641097251e-10
"result.91"	0.0262532550881418	8.69633254296787e-11
"result.92"	0.0275599832970415	6.34570174185001e-11
"result.93"	0.0375921619084052	3.46396245021197e-11
