""	"GATA2"	"PGR"
"result.1"	0.0862077173096369	1.41209266502074e-11
"result.2"	0.020366486926759	1.18751897204561e-10
"result.3"	0.0312826057451701	5.04660757627562e-11
"result.4"	0.0360821819005424	4.93494134445882e-11
"result.5"	0.0500338978754229	2.48538967184686e-11
"result.6"	0.0423412019696041	3.91295884583087e-11
"result.7"	0.0373139063943631	5.60267388038937e-11
"result.8"	0.0498296668906828	2.95190538679435e-11
"result.9"	0.0356651690701382	4.87372364688099e-11
"result.10"	0.0115750774004604	2.32608154959735e-10
"result.11"	0.054158645553118	2.61903831955124e-11
"result.12"	0.0398160265149441	3.28264082583019e-11
"result.13"	0.0204284163984589	1.15515375043174e-10
"result.14"	0.0374291543489098	4.00544042378215e-11
"result.15"	0.0550037930293041	2.22810658812023e-11
"result.16"	0.0461614030862805	5.85975712397158e-12
"result.17"	0.017952949913397	2.22825979889762e-10
"result.18"	0.0371098547882356	3.37998518062932e-11
"result.19"	0.0515178392344662	3.86506382454854e-11
"result.20"	0.0194361033978092	1.46809897572098e-10
"result.21"	0.0692296114208961	1.29072308396871e-11
"result.22"	0.0405110893694738	5.39324140902409e-11
"result.23"	0.0421266231497273	2.58786325701976e-11
"result.24"	0.0335191348607025	8.17370615635582e-11
"result.25"	0.0544344337984675	1.27451382780919e-11
"result.26"	0.04732106815227	4.46136461107471e-11
"result.27"	0.032554391926769	3.56801255207984e-11
"result.28"	0.0292294013118091	5.48778800180116e-11
"result.29"	0.0536225175694618	3.71305208801687e-11
"result.30"	0.0700612371492948	8.49853520890065e-12
"result.31"	0.0331847814723207	6.24411633509681e-11
"result.32"	0.0471555559937282	4.43574066366637e-11
"result.33"	0.048466166871789	2.79287704074704e-11
"result.34"	0.0655607929038609	9.38804589623032e-12
"result.35"	0.0251787974672082	7.22515380857658e-11
"result.36"	0.0136734051325904	2.33578711927862e-10
"result.37"	0.0276598806295139	6.65172361635769e-11
"result.38"	0.0267387069788618	1.00879971043355e-10
"result.39"	0.0495913830031749	2.30191421479731e-11
"result.40"	0.015286219198098	1.57536872436026e-10
"result.41"	0.0188338930644849	7.2188699462572e-11
"result.42"	0.0364989600419443	2.24480434241059e-11
"result.43"	0.0311775063660489	3.68520769455927e-11
"result.44"	0.0366542070428735	5.01709784828108e-11
"result.45"	0.049738638095943	6.37176977846821e-11
"result.46"	0.0339794101158644	9.44115896572839e-11
"result.47"	0.0331621603007757	7.04449831800957e-11
"result.48"	0.0282982240770371	6.54196696814324e-11
"result.49"	0.0316065399883014	3.40532047005127e-11
"result.50"	0.0382723423393796	4.06343847458857e-11
"result.51"	0.020385518963866	3.54993812123894e-11
"result.52"	0.00925114718722675	3.2857028209321e-10
"result.53"	0.0146270784518427	2.37639907751941e-10
"result.54"	0.0256750951395082	3.13171710786264e-11
"result.55"	0.0385885243167725	2.26583196649699e-11
"result.56"	0.0119518458785264	2.6082025428309e-10
"result.57"	0.076123959765616	2.29556373909645e-11
"result.58"	0.0334106861625303	5.82678350014021e-11
"result.59"	0.0637605310211873	4.53481696638391e-12
"result.60"	0.0303297888991971	3.20969917311231e-11
"result.61"	0.0285783977722136	6.60316246126058e-11
"result.62"	0.0229466680234387	6.73379130233798e-11
"result.63"	0.0163421519639582	6.92708113092522e-11
"result.64"	0.0227425479494046	1.02431396697966e-10
"result.65"	0.0322366949059951	4.86770623808752e-11
"result.66"	0.0285765554787138	1.53736801067339e-10
"result.67"	0.026281998410536	6.14746031857294e-11
"result.68"	0.0282659330917339	7.93864973758218e-11
"result.69"	0.0230011656007045	1.1626721807545e-10
"result.70"	0.0258284431791143	1.3979795099317e-10
"result.71"	0.0630141197122533	1.57145407797543e-11
"result.72"	0.044361707809097	2.81477063879265e-11
"result.73"	0.0165329952763573	1.3511725072135e-10
"result.74"	0.033034243579565	4.83213469237853e-11
"result.75"	0.0473699834947283	3.94162480432669e-11
"result.76"	0.0486406054694086	2.04902761424819e-11
"result.77"	0.0507697422761491	2.66699995421504e-11
"result.78"	0.0349429236931988	9.31856813934928e-11
"result.79"	0.0105264967306058	1.68460134730708e-10
"result.80"	0.0390257012683179	3.77060604961343e-11
"result.81"	0.0483679838146498	1.07014397343619e-11
"result.82"	0.0350274764803549	6.4307226210758e-11
"result.83"	0.0212658219726789	1.01313402112169e-10
