""	"GATA2"	"PGR"
"result.1"	0.0114653968071445	3.54899665211406e-10
"result.2"	0.0348991925363309	3.88280518848205e-11
"result.3"	0.0285971346718272	1.03859809641449e-10
"result.4"	0.0351794392876374	6.08371131249896e-11
"result.5"	0.0269923113910442	2.9330982087572e-11
"result.6"	0.0467678530450348	2.62876387324695e-11
"result.7"	0.0394115452220987	3.60713681146763e-11
"result.8"	0.0148421133938796	2.13670858784099e-10
"result.9"	0.0300324575230762	9.39874844618771e-11
"result.10"	0.041995959078875	3.10218517540761e-11
"result.11"	0.0318999399078388	5.07689446038739e-11
"result.12"	0.0262833720088722	5.53830314942161e-11
"result.13"	0.0325384736356429	5.22266674352068e-11
"result.14"	0.0366585129474311	6.21265261457893e-11
"result.15"	0.0405770684803353	5.067679609283e-11
"result.16"	0.0412565535585263	4.33568736468715e-11
"result.17"	0.0743729110097933	9.31166255213611e-12
"result.18"	0.0556207786746414	3.14357428976564e-11
"result.19"	0.0184685492101044	8.94297969011859e-11
"result.20"	0.0300730064310362	3.78821418678399e-11
"result.21"	0.0805776641137905	1.03548281060739e-11
"result.22"	0.0165823351525489	1.46030743053416e-10
"result.23"	0.0447818241595039	3.73716613211172e-11
"result.24"	0.008504601447888	3.50569129281553e-10
"result.25"	0.0204175814473131	1.84553705651069e-10
"result.26"	0.0443020851956204	3.68622909974192e-11
"result.27"	0.0380789456824631	6.49003073505128e-11
"result.28"	0.0179475617180489	1.60607305232929e-10
"result.29"	0.0276371997832612	4.82176520932853e-11
"result.30"	0.0495427652150831	4.62978544391035e-11
"result.31"	0.0182927768955143	9.82802728088927e-11
"result.32"	0.0458555175628859	4.09789979727293e-11
"result.33"	0.0345626434838462	5.95434812566964e-11
"result.34"	0.0358805886784581	5.14817077856833e-11
"result.35"	0.0159705832671517	1.37652556020385e-10
"result.36"	0.0205522601507162	5.5951909772034e-11
"result.37"	0.0509193663149934	3.23183702022334e-11
"result.38"	0.0338549717078869	5.34732258472559e-11
"result.39"	0.0284838497133957	8.68891625316337e-11
"result.40"	0.0212674121273357	1.04841024750613e-10
"result.41"	0.0277870925400665	6.17568218785891e-11
"result.42"	0.0283056968141444	5.62914159729644e-11
"result.43"	0.0164231503398853	1.27637234115241e-10
"result.44"	0.0221454300664587	7.860689876793e-11
"result.45"	0.0286191094031336	5.38495914526038e-11
"result.46"	0.0114451123051258	9.12780961925819e-11
"result.47"	0.0306195547378474	6.43729514138158e-11
"result.48"	0.0248137837539701	7.49067474714593e-11
"result.49"	0.0235853784663911	2.40576225607469e-10
"result.50"	0.0377940223295892	1.2890000178345e-10
"result.51"	0.0197508855190227	5.37374589271167e-11
"result.52"	0.0401661212549089	5.27518029258545e-11
"result.53"	0.0389273737583946	3.36812799872632e-11
"result.54"	0.0114897681072179	5.76324543644091e-10
"result.55"	0.0559067940226354	2.05229166994059e-11
"result.56"	0.0163016212638276	1.09432241046648e-10
"result.57"	0.0324697518106454	2.83131296185957e-11
"result.58"	0.0392007355921566	2.19220197550385e-11
"result.59"	0.0419224204415873	9.6641583624546e-11
"result.60"	0.0564663894158501	1.85571558120046e-11
"result.61"	0.034320341822939	6.62276899987546e-11
"result.62"	0.0331083891944488	2.08155714886971e-11
"result.63"	0.0291369080400707	8.7812423998912e-11
"result.64"	0.042076639487107	3.32598393271155e-11
"result.65"	0.0390741106407864	6.34261532184155e-11
"result.66"	0.0499972544479617	2.13384865332955e-11
"result.67"	0.038697903478863	4.40281144875598e-11
"result.68"	0.0291618080394751	6.8824057564143e-11
"result.69"	0.0339598423643368	6.43003428280053e-11
"result.70"	0.0229543487605652	1.2032486118585e-10
"result.71"	0.0351892958821935	3.99962285513311e-11
"result.72"	0.0182403956347053	7.44941885955086e-11
"result.73"	0.0259962281652575	5.75852698858625e-11
"result.74"	0.0145323390343062	3.16680237588685e-10
"result.75"	0.0603102293046773	1.42998946017769e-11
"result.76"	0.0275717125162196	5.85271830999545e-11
"result.77"	0.0455068927177549	4.28679314268265e-11
"result.78"	0.0447951424087485	2.69153588305926e-11
"result.79"	0.0426418711881738	3.03643776788931e-11
"result.80"	0.0644420555635279	2.18174367461188e-11
"result.81"	0.0294489915477965	7.47810702250717e-11
"result.82"	0.0159870741765047	1.97906135923631e-10
"result.83"	0.0280163170453214	7.47208961371371e-11
"result.84"	0.0387228440699403	3.34772209953371e-11
"result.85"	0.0356837395921559	5.15036902015709e-11
"result.86"	0.0402545538082097	6.21345197515666e-11
"result.87"	0.0686145869349157	1.85282900133643e-11
"result.88"	0.02274990670206	1.1330558713496e-10
"result.89"	0.0159446120306734	2.38955522036122e-10
"result.90"	0.0367164549443173	3.86159992871171e-11
"result.91"	0.0255473944604749	4.73134864620306e-11
"result.92"	0.0166633482623064	2.04422478944366e-10
"result.93"	0.020128729442688	1.65133018370511e-10
"result.94"	0.0745115306894153	1.35098598974537e-11
"result.95"	0.024487929256285	1.21001875186266e-10
"result.96"	0.0532995724626979	1.92210691807304e-11
"result.97"	0.0176313651871378	1.31865185437618e-10
"result.98"	0.024426712759366	7.94060373010552e-11
"result.99"	0.0496460082245433	3.10798053959616e-11
"result.100"	0.0428078654561814	4.40252279076958e-11
"result.101"	0.0250185177293831	6.01450000914383e-11
"result.102"	0.0367301411186507	5.42510480983083e-11
"result.103"	0.0201707915940206	2.21100693309495e-10
"result.104"	0.0180510156214262	1.02460928630421e-10
"result.105"	0.00917514923842888	1.82839965390258e-10
"result.106"	0.0272692343263392	6.59889920484602e-11
"result.107"	0.0309547898975073	3.96671584468322e-11
"result.108"	0.0398553418730556	4.35285141264785e-11
"result.109"	0.0293063088036531	8.32078850265816e-11
"result.110"	0.0248062340880226	7.50088879897248e-11
"result.111"	0.0309644998852068	3.35578231869249e-11
"result.112"	0.054853928471819	1.99198435524295e-11
"result.113"	0.0238417497592134	6.30238083942913e-11
"result.114"	0.0157472295138792	7.23470172658836e-11
"result.115"	0.0235997407354787	8.45312708719348e-11
"result.116"	0.0431378064116921	3.2384539494501e-11
"result.117"	0.0189597543935749	1.1448997305763e-10
"result.118"	0.0303945829147736	4.15536494102753e-11
"result.119"	0.044571018404679	2.94222424201962e-11
"result.120"	0.0223980736191538	8.90725271318615e-11
"result.121"	0.0323816967040162	2.66420219219299e-11
"result.122"	0.0521860938321448	3.21214166376649e-11
"result.123"	0.0191796747531043	1.1330558713496e-10
"result.124"	0.0304544684357453	3.29787308572804e-11
"result.125"	0.0577901199071178	1.19615428673114e-11
"result.126"	0.0182832607818699	1.91241245062201e-10
"result.127"	0.0466540849601211	2.90418800119596e-11
"result.128"	0.0244521416668686	6.05897554351031e-11
"result.129"	0.0337023594753134	3.45194983708552e-11
"result.130"	0.0226617187228937	1.33598021534453e-10
"result.131"	0.0224295779088148	1.02718278327529e-10
"result.132"	0.0385833687560151	3.80857567705561e-11
"result.133"	0.0295293677747821	4.53554971358017e-11
"result.134"	0.0566920247197886	8.32733881850345e-12
"result.135"	0.0114675273128511	1.76647363403504e-10
"result.136"	0.0164085743174427	4.0180303528814e-11
"result.137"	0.0257336444159662	5.34539079666274e-11
"result.138"	0.031453324076975	6.18483042558182e-11
"result.139"	0.0237883858853016	8.38926705881704e-11
"result.140"	0.0256937449475707	9.09741171284395e-11
"result.141"	0.0405642979263052	6.31612540047399e-11
"result.142"	0.0186780149155379	1.26636701125449e-10
"result.143"	0.0342315676346889	3.72666342229877e-11
"result.144"	0.0370714833953976	2.91848767375313e-11
"result.145"	0.0459686994504829	4.23336921073769e-11
"result.146"	0.0204020269169247	5.59747803663413e-11
"result.147"	0.0225743555962901	8.18953793668697e-11
"result.148"	0.0311402312936881	4.54773996239055e-11
"result.149"	0.0316227988589104	4.26649826579251e-11
