""	"GATA2"	"PGR"
"result.1"	0.0943746389059621	7.97628629811697e-12
"result.2"	0.0247721248894559	5.24102983234798e-11
"result.3"	0.0105541904797379	1.99364746933384e-10
"result.4"	0.0771252160738138	5.35815836144593e-12
"result.5"	0.0740544988815606	2.57289745064782e-11
"result.6"	0.13362265760659	4.95936625100057e-12
"result.7"	0.0958599281925725	1.21280763210052e-12
"result.8"	0.0472252032211247	5.5024873546472e-12
"result.9"	0.00431827532791118	5.71220626355284e-10
"result.10"	0.0771305851886328	1.64002145197628e-12
"result.11"	0.0678663196352831	4.78443951124063e-11
"result.12"	0.029025576484994	1.59239288421986e-10
"result.13"	0.0558658119775084	8.11350986396064e-12
"result.14"	0.12168404205744	2.93254309724489e-12
"result.15"	0.0377836826026006	6.55193677090438e-11
"result.16"	0.0032576206976751	1.66657354583322e-09
"result.17"	0.00611913787114604	3.83431286721247e-10
"result.18"	0.0337064874905335	1.8831380899087e-11
"result.19"	0.0114776400101408	2.93223223479799e-11
"result.20"	0.00339083181374011	4.54084769785368e-10
"result.21"	0.0286046924097534	5.5691451450457e-11
"result.22"	0.0522692656471735	3.44280159936261e-11
"result.23"	0.00540509635136099	1.08928444042533e-09
"result.24"	0.0602722691138244	7.42741423920279e-11
"result.25"	0.00164610698145262	2.5007294013335e-09
"result.26"	0.016169786559018	4.39387859429985e-10
"result.27"	0.00975948287366535	2.56733079240234e-10
"result.28"	0.000460294007100792	5.13219178266411e-09
"result.29"	0.038535655800213	1.17612586336691e-11
"result.30"	0.0201898586807219	3.72268882387061e-11
"result.31"	0.0288569796166522	9.96989157897588e-11
"result.32"	0.0313249137241136	6.33080254885954e-11
"result.33"	0.0437224807302472	9.20519216407456e-11
"result.34"	0.00343463532267974	8.70534089258967e-10
"result.35"	0.0326970904630408	2.33955743667025e-10
"result.36"	0.0109817064720912	1.2519540959488e-10
"result.37"	0.007787513999018	2.17258211421267e-10
"result.38"	0.0758130470817757	3.80917519748891e-11
"result.39"	0.0427690400152496	1.08755893180046e-10
"result.40"	0.0191144546917865	9.16169362596975e-11
"result.41"	0.01945634177801	1.06927355858488e-10
"result.42"	0.0128503755903346	2.45780951146912e-10
"result.43"	0.0719856494541722	1.59132707011622e-11
"result.44"	0.0153487918245352	4.51898518605276e-11
"result.45"	0.0128092504043718	3.89506205067391e-10
"result.46"	0.0805412530696608	9.05764352410188e-12
"result.47"	0.0183468070001234	1.39202871451971e-10
"result.48"	0.166285351311632	5.69122526883348e-12
"result.49"	0.0173891153746921	3.63519436774595e-10
"result.50"	0.0209301661146342	1.64378954892186e-10
"result.51"	0.0329030043413046	3.42719408408243e-10
"result.52"	0.104700220444078	3.48543416350822e-12
"result.53"	0.00114454487260662	5.02658537016032e-09
"result.54"	0.00680488384041578	2.58681964737661e-11
"result.55"	0.0669594503220103	2.58770782579631e-12
"result.56"	0.127637465313672	3.90532051142145e-12
"result.57"	0.0299087618443741	1.33681621328208e-09
"result.58"	0.0518731875436218	6.82052192502169e-11
"result.59"	0.0114009895566425	6.17381701317754e-10
"result.60"	0.144578811625594	5.46740430706905e-12
"result.61"	0.0281504048646299	2.24800178472151e-11
"result.62"	0.00918493076079208	2.0482571194691e-10
"result.63"	0.0127759141304222	7.18409998157199e-10
"result.64"	0.0746500585415288	6.10000938650046e-12
"result.65"	0.0898513725099146	1.89741555800538e-11
"result.66"	0.0100613979010811	1.41244349549652e-10
"result.67"	0.00369004910015391	4.35391500630544e-10
"result.68"	0.0386970930247192	2.38247199746411e-11
"result.69"	0.00198638487024105	1.74126713048395e-09
"result.70"	0.0219022362086094	4.13109768615527e-10
"result.71"	0.0195462198611804	2.21076712492163e-10
"result.72"	0.0495758693431141	1.26244348308546e-10
"result.73"	0.0190421056213332	1.88265625311601e-10
"result.74"	0.101452103491813	1.10222941884786e-12
"result.75"	0.0108105464618746	1.92526883324717e-10
"result.76"	0.106918168057894	5.86397597146515e-12
"result.77"	0.0208048646173113	1.21887389070707e-10
"result.78"	0.0107047656762553	4.61582327915266e-10
"result.79"	0.00393970590821624	3.24362980919091e-10
"result.80"	0.0838544978037634	9.63229496164786e-12
"result.81"	0.0267913093977641	2.07234229776532e-11
"result.82"	0.0726095033215102	2.11575201802816e-11
"result.83"	0.0321252779131314	7.52389706093481e-10
"result.84"	0.0176416791857616	2.17349915843101e-10
"result.85"	0.0261269544971079	1.75826242454491e-10
"result.86"	0.13290001598739	5.93325388820176e-12
"result.87"	0.00806549922415467	2.04467109909956e-10
"result.88"	0.0346451593030193	1.45359280168122e-11
"result.89"	0.0624158173418825	5.26716448234765e-11
"result.90"	0.0135104895245808	2.5163604533418e-10
"result.91"	0.0247020089550563	8.09199818263551e-10
"result.92"	0.0671289004450553	2.36988206836486e-12
"result.93"	0.0321254383921912	2.43114195441763e-10
"result.94"	0.0639466910710556	7.00373092854534e-12
"result.95"	0.00332860736889673	3.13409742602744e-10
"result.96"	0.021681769763235	2.37356800880661e-11
"result.97"	0.090758682731753	4.48374670725116e-12
"result.98"	0.00194036702787437	1.12532494433992e-09
"result.99"	0.00595361461515553	8.4763018826095e-10
"result.100"	0.00991260348247303	5.43511902151295e-10
"result.101"	0.0237107770739813	2.08018047231917e-11
"result.102"	0.100771878870104	1.74229519700475e-11
"result.103"	0.0198347747101262	3.0428437547414e-10
"result.104"	0.0391589601583637	8.62612203889057e-11
"result.105"	0.10508293116479	8.38284996973471e-12
"result.106"	0.0909525311998491	1.50439660728807e-11
"result.107"	0.0120077570056945	2.5220003863069e-10
"result.108"	0.00327163058610913	6.38375130534996e-10
"result.109"	0.0102514399043609	6.09420292008167e-10
"result.110"	0.00529180853500044	4.60057547613246e-10
"result.111"	0.0510467435892432	2.57929233526966e-11
"result.112"	0.0149164211995347	2.53357335111559e-10
"result.113"	0.00812351603445061	1.5723948809665e-09
"result.114"	0.0236750083959629	8.54261106297827e-11
"result.115"	0.0365292817394984	1.05271347194957e-11
"result.116"	0.198384247342478	1.81965553736063e-12
"result.117"	0.00307352891811585	4.87029527818095e-10
"result.118"	0.0275890289299767	9.24913479138922e-11
"result.119"	0.00774333196637866	7.79142528273269e-10
"result.120"	0.0393315757002966	5.28515009534658e-11
