""	"GATA2"	"PGR"
"result.1"	0.0497438503587384	9.17441678183195e-11
"result.2"	0.0269868694089015	4.70543604080831e-11
"result.3"	0.0902673888569561	1.68756120189073e-11
"result.4"	0.0373935354350359	1.80615522538119e-11
"result.5"	0.135145449299871	4.73465711081644e-12
"result.6"	0.0178418704152179	3.04649416804637e-10
"result.7"	0.015849572773005	4.33140190381209e-11
"result.8"	0.0194931324174716	1.93171034723605e-10
"result.9"	0.0618690217567386	2.2663870780093e-11
"result.10"	0.0237058190740511	5.60604895838424e-11
"result.11"	0.0242146403252337	1.47519330084833e-10
"result.12"	0.0675205475428515	2.42157405239141e-11
"result.13"	0.0775733733698811	1.65059077517071e-11
"result.14"	0.0318389369284187	6.0373928079116e-11
"result.15"	0.0083271719633875	4.05123712354793e-10
"result.16"	0.0242115135445753	2.36939357023402e-11
"result.17"	0.0744813014246655	1.90725213400356e-11
"result.18"	0.0504654652614258	1.60957913664106e-11
"result.19"	0.0393226766712678	2.45339304427716e-11
"result.20"	0.0486266457278461	3.69229091745638e-11
"result.21"	0.0111307060439747	3.47154527347016e-10
"result.22"	0.0431269537853574	3.34801075752011e-11
"result.23"	0.101400114539553	3.12327941287549e-12
"result.24"	0.0137003469187271	1.06646025344048e-10
"result.25"	0.0702030586926072	5.96767080196514e-12
"result.26"	0.0293070729446743	5.21096499284113e-11
"result.27"	0.0545056923910074	1.12985176770053e-11
"result.28"	0.0161935689152806	1.68622449336908e-10
"result.29"	0.0850816220208173	6.69420074927984e-12
"result.30"	0.0450404766636383	2.62705412978903e-11
"result.31"	0.023492669153601	7.09317049540914e-11
"result.32"	0.0109258474166485	3.60210972161212e-10
"result.33"	0.0140270463215912	1.43723699608245e-10
"result.34"	0.0336123571532168	3.05448999426972e-11
"result.35"	0.0293818507981827	4.77540229582019e-11
"result.36"	0.0173922446106278	8.88644713370468e-11
"result.37"	0.0657517566345416	1.35955691149547e-11
"result.38"	0.0380065282276747	1.39335210036506e-11
"result.39"	0.0206880643672533	6.80113743101174e-11
"result.40"	0.0606532330361873	8.75786110299259e-11
"result.41"	0.0481658557372242	4.39555059017493e-11
"result.42"	0.043566723988995	5.1734172501483e-11
"result.43"	0.0190306094817023	6.89281964838528e-11
"result.44"	0.00539876287270791	1.16430376451149e-09
"result.45"	0.0259943121127204	8.27100610223397e-11
"result.46"	0.0131164051807584	2.20485629753853e-10
"result.47"	0.037755828264495	3.47357698160522e-11
"result.48"	0.0148150229948769	4.15845136103599e-11
"result.49"	0.0385842758784722	4.78401762649128e-11
"result.50"	0.01216577506713	1.05034647646107e-10
"result.51"	0.00687884067736833	5.32557331567318e-10
"result.52"	0.0467377451215876	1.97060145978867e-11
"result.53"	0.0249471522429012	1.04148467627851e-10
"result.54"	0.0368506340304309	6.02433658514201e-11
"result.55"	0.066707626895121	1.51743062559717e-11
"result.56"	0.0290127635655004	8.78839223616978e-11
"result.57"	0.0351025049448752	2.5157653738006e-11
"result.58"	0.0204986050871112	3.80409037603613e-10
"result.59"	0.0579468786075528	1.80810921790453e-11
"result.60"	0.029279572113516	9.30528987197476e-11
"result.61"	0.0415184273547984	5.12021536280827e-11
"result.62"	0.0149747807230631	2.72391220690338e-10
"result.63"	0.0805054244280903	1.01654240580729e-11
"result.64"	0.016781868104953	2.3460700049327e-10
"result.65"	0.0309999736299285	1.91124893689221e-11
