"" "Molecule" "Index" "OverlapGene" "GATA2_pval" "mean_wo_replacement_pvals" "mean_w_replacement_pvals"
"1" "ATF4" 0 "34" 0.0722672452584225 0.0313724747963573 0.0757717300467626
"2" "beta-estradiol" 0.00209643605870021 "289" 0.231210201343176 0.0464057923088784 0.285883231186503
"3" "EGFR" 0 "73" 0.120549149582214 0.0342255594840412 0.130303077046738
"4" "ERN1" 0.0234192037470726 "31" 0.0464563092763435 0.0306951354765962 0.0483206007782113
"5" "FOXO3" 0.0491452991452991 "62" 0.0524290018899809 0.0321101035847463 0.055694729664128
"6" "HOXA10" 0.193704600484261 "39" 0.0359726941339706 0.0315821031172536 0.0384554365263259
"7" "MITF" 0 "27" 0.0491920200067812 0.030696212903649 0.0512247986804351
"8" "progesterone" 0.00442477876106195 "124" 0.0943919683682377 0.0372437793198068 0.108486001102013
"9" "PTEN" 0.00223214285714286 "83" 0.0755987344687734 0.0341939048086706 0.0840673968737281
"10" "RUNX3" 0.019559902200489 "20" 0.0406554413302487 0.0303726909298186 0.0417702452802682
"11" "TGFBR1" 0.237082066869301 "14" 0.0333681348261654 0.0306374292414245 0.0341176781531495
"12" "Vegf" 0.00240963855421687 "72" 0.0712189212744492 0.0336623059894809 0.0779341482929381
"13" "XBP1" 0.869358669833729 "45" 0.0281776340148081 0.0322908604154614 0.0309436057184279
